NAME,Crop,Year,AW,Total_Land ,TW
Lassen,Alfalfa,1999,3.22,35700,115017.7974
Lassen,Alfalfa,2000,3.13,35700,111785.5246
Lassen,Alfalfa,2013,2.96,35589,105343.44
Modoc,Alfalfa,2002,3.13,35580,111487.1098
Madera,Alfalfa,2005,3.93,35500,139556.1594
Modoc,Alfalfa,1999,4.15,35500,147296.1397
Lassen,Alfalfa,1998,2.2,35400,77749.11999
Modoc,Alfalfa,1998,2,35400,70720.90829
Madera,Alfalfa,2006,4.53,35000,158583.4421
Modoc,Alfalfa,2001,3.16,34900,110260.8251
Stanislaus,Alfalfa,2004,5.61,34700,194508.273
Stanislaus,Alfalfa,2012,5.01,34700,173847
Solano,Alfalfa,2002,5.71,34432,196570.695
Modoc,Alfalfa,2000,3.08,34300,105665.1729
Stanislaus,Alfalfa,2008,0,33900,0
Stanislaus,Alfalfa,2005,4.43,33800,149613.9278
Stanislaus,Alfalfa,2006,4.91,33800,166081.8169
Shasta,Alfalfa,2010,2.48,33475,83011.22315
Lassen,Alfalfa,2003,3.05,33428,101952.253
Lassen,Alfalfa,2002,3.28,33406,109444.3245
Madera,Alfalfa,2001,4.93,33400,164579.7101
Lassen,Alfalfa,2001,3.37,33300,112100.8623
Yolo,Alfalfa,2012,3.79,33036,125206.44
Stanislaus,Alfalfa,2010,4.57,32900,150435.219
Solano,Alfalfa,2005,4.38,32651,142959.6394
Solano,Alfalfa,2003,4.92,32648,160561.6709
Stanislaus,Alfalfa,1999,4.7,32500,152690.5812
Stanislaus,Alfalfa,2007,5.82,32200,187389.7427
Madera,Alfalfa,2008,0,32100,0
Solano,Alfalfa,2004,5.58,31876,177843.5189
Yolo,Alfalfa,2013,4.02,31844,128012.88
Yolo,Alfalfa,2011,9.92524656071361E-05,31838,3.16
Madera,Alfalfa,2007,5.35,31700,169488.5942
Solano,Alfalfa,2015,4.23,31270,132272.1
Modoc,Alfalfa,2011,2.35411525532255,31235,73530.79
Solano,Alfalfa,2014,3.8,30700,116660
Stanislaus,Alfalfa,2013,5.35,30400,162640
Solano,Alfalfa,2001,5.77,30200,174235.2941
Solano,Alfalfa,1998,4.04,30000,121264.7059
Lassen,Alfalfa,2005,2.8,29459,82603.39539
Lassen,Alfalfa,2004,3.16,28917,91335.17879
Solano,Alfalfa,2012,3.71,28200,104622
Stanislaus,Alfalfa,2014,5.29,28200,149178
Solano,Alfalfa,1999,5.81,28000,162654.4381
Madera,Alfalfa,2010,4.32,27800,120045.4137
Yolo,Alfalfa,2014,4.04,27784,112247.36
Tehama,Alfalfa,2010,3.29,27456,90195.23872
Stanislaus,Alfalfa,2015,5.27,26200,138074
Solano,Alfalfa,2011,0,26067,0
Solano,Alfalfa,2013,3.89,26000,101140
Solano,Alfalfa,2000,5.47,25400,138985.2941
Yolo,Alfalfa,2015,4.15,25260,104829
Lassen,Alfalfa,2009,3.2,24519,78536.97006
Lassen,Alfalfa,2010,3.11,24317,75638.73677
Lassen,Alfalfa,2006,2.93,23912,70089.9809
Lassen,Alfalfa,2007,3.4,23912,81268.42269
Lassen,Alfalfa,2008,3.46,23902,82767.40935
Stanislaus,Alfalfa,2009,5.91,22300,131882.0695
Sacramento,Alfalfa,2010,4.8,22287,106943.1485
Madera,Alfalfa,2012,5.55,21240,117882
Merced,Alfalfa,2009,5.85,20200,118258.8114
Madera,Alfalfa,2011,4.65,19400,90210
Madera,Alfalfa,2013,5.42,16550,89701
Colusa,Alfalfa,2007,5.06,16472,83361.29507
San Bernardino,Alfalfa,1998,5.24,16350,85701.26984
Sacramento,Alfalfa,2011,3.6,15980,57528
Glenn,Alfalfa,2009,4.77,15750,75077.94364
Glenn,Alfalfa,2003,3.97,15574,61758.93882
Madera,Alfalfa,2014,5.82,15500,90210
San Bernardino,Alfalfa,1999,5.71,15500,88505.46032
San Bernardino,Alfalfa,2002,7.75,15500,120099.8991
San Bernardino,Alfalfa,2003,7.14,15500,110605.5065
Glenn,Alfalfa,2002,4.73,15497,73280.70679
Madera,Alfalfa,2015,5.6,15400,86240
San Bernardino,Alfalfa,2001,6.9,15360,106020.6984
Sierra,Alfalfa,2010,3.13,15135,47347.06101
San Bernardino,Alfalfa,2005,6.43,15100,97110.56376
San Bernardino,Alfalfa,2000,6.38,15020,95902.03175
San Bernardino,Alfalfa,2004,7.29,14940,108971.202
San Bernardino,Alfalfa,2006,7.83,14770,115651.6209
Sacramento,Alfalfa,2015,4.4,14685,64614
San Bernardino,Alfalfa,2008,7.79,14660,114270.1396
Sacramento,Alfalfa,2007,6.25,14509,90675.30439
San Bernardino,Alfalfa,2007,8.3,14500,120336.2312
San Joaquin,Alfalfa,2010,5.28,14499,76623.26821
Colusa,Alfalfa,2010,3.51,14396,50566.63901
Sacramento,Alfalfa,2014,4.12,14393,59299.16
San Bernardino,Alfalfa,2011,6.7,14300,95810
San Bernardino,Alfalfa,2012,6.94,14240,98825.6
Colusa,Alfalfa,2009,5.36,13999,75053.54473
Sacramento,Alfalfa,2006,4.93,13958,68807.70337
Sacramento,Alfalfa,2002,5.74,13863,79596.62329
Colusa,Alfalfa,2008,4.96,13658,67741.28151
Glenn,Alfalfa,2010,3.35,13440,45015.81865
Glenn,Alfalfa,1998,3.03,13400,40647.88732
Colusa,Alfalfa,2012,3.09,13396,41393.64
San Bernardino,Alfalfa,2013,8.24,13330,109839.2
Mono,Alfalfa,2007,6.39,13295,84909.7065
Glenn,Alfalfa,2006,3.93,13225,51985.31132
Colusa,Alfalfa,2006,4.04,13112,53017.41601
Mono,Alfalfa,2008,6.1,13099,79866.4671
Sacramento,Alfalfa,2013,4.41,13071,57643.11
San Bernardino,Alfalfa,2014,9.79,13030,127563.7
Glenn,Alfalfa,2008,4.99,13002,64899.36726
