Year,Commodity Code,Crop Name,County Code,County,Harvested Acres,Yield,Production,Price P/U,Unit,Value,,,,,
2022,,"Apiary, All",17,El Dorado,,,,,,2096000,,,,,
2022,,"Apiary, All",19,Fresno,,,,,,150993000,,,,,
2022,,"Apiary, All",27,Inyo,,,,,,224000,,,,,
2022,,"Apiary, All",29,Kern,,,,,,103779000,,,,,
2022,,"Apiary, All",31,Kings,,,,,,20047000,,,,,
2022,,"Apiary, All",39,Madera,,,,,,69758000,,,,,
2022,,"Apiary, All",43,Mariposa,,,,,,53800,,,,,
2022,,"Apiary, All",47,Merced,,,,,,64738000,,,,,
2022,,"Apiary, All",53,Monterey,,,,,,249000,,,,,
2022,,"Apiary, All",57,Nevada,,,,,,520000,,,,,
2022,,"Apiary, All",61,Placer,,,,,,512000,,,,,
2022,,"Apiary, All",63,Plumas,,,,,,54900,,,,,
2022,,"Apiary, All",65,Riverside,,,,,,5950000,,,,,
2022,,"Apiary, All",67,Sacramento,,,,,,1330000,,,,,
2022,,"Apiary, All",71,San Bernardino,,,,,,2322000,,,,,
2022,,"Apiary, All",73,San Diego,,,,,,3238000,,,,,
2022,,"Apiary, All",77,San Joaquin,,,,,,56907000,,,,,
2022,,"Apiary, All",81,San Mateo,,,,,,404000,,,,,
2022,,"Apiary, All",83,Santa Barbara,,,,,,735000,,,,,
2022,,"Apiary, All",85,Santa Clara,,,,,,294000,,,,,
2022,,"Apiary, All",89,Shasta,,,,,,10839000,,,,,
2022,,"Apiary, All",91,Sierra,,,,,,9010,,,,,
2022,,"Apiary, All",95,Solano,,,,,,10250000,,,,,
2022,,"Apiary, All",97,Sonoma,,,,,,337000,,,,,
2022,,"Apiary, All",101,Sutter,,,,,,9852000,,,,,
2022,,"Apiary, All",103,Tehama,,,,,,20957000,,,,,
2022,,"Apiary, All",107,Tulare,,,,,,70174000,,,,,
2022,,"Apiary, All",109,Tuolumne,,,,,,34200,,,,,
2022,,"Apiary, All",111,Ventura,,,,,,9575000,,,,,
2022,,"Apiary, All",113,Yolo,,,,,,21173000,,,,,
2022,,"Apiary, All",115,Yuba,,,,,,825000,,,,,
2022,,"Apiary, All",998,Sum of Others,,,,,,166918000,,,,,
2022,,"Apiary, All",999,State Total,,,,,,851927810,,,,,
2022,483999,"Apiary Prod, Bees, Packaged, Bulk",11,Colusa,,,7500,36.67,Lbs,275000,,,,,
2022,483999,"Apiary Prod, Bees, Packaged, Bulk",21,Glenn,,,138000,37.19,Lbs,5132000,,,,,
2022,483999,"Apiary Prod, Bees, Packaged, Bulk",47,Merced,,,57700,32.65,Lbs,1884000,,,,,
2022,483999,"Apiary Prod, Bees, Packaged, Bulk",998,Sum of Others,,,,,,224000,,,,,
2022,483999,"Apiary Prod, Bees, Packaged, Bulk",999,State Total,,,203200,35.88,Lbs,7515000,,,,,
2022,485999,"Apiary Products, Bees, Queen",11,Colusa,,,38500,28.00,Count,1078000,,,,,
2022,485999,"Apiary Products, Bees, Queen",21,Glenn,,,391000,25.61,Count,10015000,,,,,
2022,485999,"Apiary Products, Bees, Queen",47,Merced,,,32400,22.78,Count,738000,,,,,
2022,485999,"Apiary Products, Bees, Queen",89,Shasta,,,275000,28.44,Count,7821000,,,,,
2022,485999,"Apiary Products, Bees, Queen",998,Sum of Others,,,,,,2286000,,,,,
2022,485999,"Apiary Products, Bees, Queen",999,State Total,,,736900,26.67,Count,21938000,,,,,
2022,482999,"Apiary Products, Beeswax",19,Fresno,,,491000,5.28,Lbs,2592000,,,,,
2022,482999,"Apiary Products, Beeswax",29,Kern,,,633000,4.60,Lbs,2911000,,,,,
2022,482999,"Apiary Products, Beeswax",31,Kings,,,8290,3.15,Lbs,26100,,,,,
2022,482999,"Apiary Products, Beeswax",39,Madera,,,21000,3.62,Lbs,76000,,,,,
2022,482999,"Apiary Products, Beeswax",47,Merced,,,43800,3.01,Lbs,132000,,,,,
2022,482999,"Apiary Products, Beeswax",53,Monterey,,,412,4.76,Lbs,1960,,,,,
2022,482999,"Apiary Products, Beeswax",63,Plumas,,,192,8.49,Lbs,1630,,,,,
2022,482999,"Apiary Products, Beeswax",65,Riverside,,,12100,3.15,Lbs,38100,,,,,
2022,482999,"Apiary Products, Beeswax",107,Tulare,,,160000,3.81,Lbs,610000,,,,,
2022,482999,"Apiary Products, Beeswax",111,Ventura,,,30000,4.50,Lbs,135000,,,,,
2022,482999,"Apiary Products, Beeswax",998,Sum of Others,,,,,,765000,,,,,
2022,482999,"Apiary Products, Beeswax",999,State Total,,,1399794,4.66,Lbs,7288790,,,,,
2022,481999,"Apiary Products, Honey",11,Colusa,,,50000,3.00,Lbs,150000,,,,,
2022,481999,"Apiary Products, Honey",19,Fresno,,,8859000,2.92,Lbs,25868000,,,,,
2022,481999,"Apiary Products, Honey",27,Inyo,,,49100,4.46,Lbs,219000,,,,,
2022,481999,"Apiary Products, Honey",29,Kern,,,5062000,2.66,Lbs,13466000,,,,,
2022,481999,"Apiary Products, Honey",31,Kings,,,404000,2.81,Lbs,1135000,,,,,
2022,481999,"Apiary Products, Honey",39,Madera,,,844000,3.32,Lbs,2802000,,,,,
2022,481999,"Apiary Products, Honey",47,Merced,,,2191000,2.66,Lbs,5829000,,,,,
2022,481999,"Apiary Products, Honey",53,Monterey,,,11500,2.80,Lbs,32200,,,,,
2022,481999,"Apiary Products, Honey",57,Nevada,,,33800,6.15,Lbs,208000,,,,,
2022,481999,"Apiary Products, Honey",63,Plumas,,,5330,10.00,Lbs,53300,,,,,
2022,481999,"Apiary Products, Honey",65,Riverside,,,569000,2.00,Lbs,1137000,,,,,
2022,481999,"Apiary Products, Honey",77,San Joaquin,,,4818000,2.95,Lbs,14213000,,,,,
2022,481999,"Apiary Products, Honey",81,San Mateo,,,37000,10.92,Lbs,404000,,,,,
2022,481999,"Apiary Products, Honey",89,Shasta,,,45000,3.20,Lbs,144000,,,,,
2022,481999,"Apiary Products, Honey",91,Sierra,,,901,10.00,Lbs,9010,,,,,
2022,481999,"Apiary Products, Honey",99,Stanislaus,,,6613000,2.87,Lbs,18980000,,,,,
2022,481999,"Apiary Products, Honey",107,Tulare,,,9703000,2.93,Lbs,28389000,,,,,
2022,481999,"Apiary Products, Honey",111,Ventura,,,1720000,3.34,Lbs,5741000,,,,,
2022,481999,"Apiary Products, Honey",998,Sum of Others,,,,,,6950000,,,,,
2022,481999,"Apiary Products, Honey",999,State Total,,,41015631,2.90,Lbs,125729510,,,,,
2022,489999,"Apiary Products, Bees, Unspecified",7,Butte,,,,,,3709000,,,,,
2022,489999,"Apiary Products, Bees, Unspecified",9,Calaveras,,,,,,37900,,,,,
2022,489999,"Apiary Products, Bees, Unspecified",11,Colusa,,,,,,775000,,,,,
2022,489999,"Apiary Products, Bees, Unspecified",13,Contra Costa,,,,,,1480000,,,,,
2022,489999,"Apiary Products, Bees, Unspecified",17,El Dorado,,,,,,2096000,,,,,
2022,489999,"Apiary Products, Bees, Unspecified",27,Inyo,,,,,,5000,,,,,
2022,489999,"Apiary Products, Bees, Unspecified",29,Kern,,,,,,1000,,,,,
