Year, Commodity Code, Crop Name, County Code, County, Harvested Acres, Yield, Production, Price P/U, Unit, Value,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
1998,113999,Grain,11,Colusa ,500,1.30,650,80,TONS ,52000,,,,,
1998,113999,Grain,19,Fresno ,6580,2.19,14400,110,TONS ,1584000,,,,,
1998,113999,Grain,21,Glenn ,1696,1.20,2035,85,TONS ,173000,,,,,
1998,113999,Grain,29,Kern ,13824,2.01,27800,93,TONS ,2592000,,,,,
1998,113999,Grain,31,Kings ,9709,1.45,14078,94,TONS ,1321000,,,,,
1998,113999,Grain,35,Lassen ,700,2.42,1694,80,TONS ,135500,,,,,
1998,113999,Grain,39,Madera ,1056,1.48,1563,103,TONS ,161000,,,,,
1998,113999,Grain,47,Merced ,4200,1.46,6141,104,TONS ,637000,,,,,
1998,113999,Grain,53,Monterey ,9650,0.72,6930,85,TONS ,588000,,,,,
1998,113999,Grain,59,Orange ,2150,1.00,2150,96,TONS ,206400,,,,,
1998,113999,Grain,65,Riverside ,6977,0.85,5930,100,TONS ,590400,,,,,
1998,113999,Grain,67,Sacramento ,623,1.00,620,50,TONS ,31000,,,,,
1998,113999,Grain,69,San Benito ,3500,0.79,2765,82,TONS ,227000,,,,,
1998,113999,Grain,73,San Diego ,200,1.74,348,103,TONS ,35700,,,,,
1998,113999,Grain,77,San Joaquin ,357,1.12,400,98,TONS ,39000,,,,,
1998,113999,Grain,79,San Luis Obispo ,28500,0.85,24225,86,TONS ,2083000,,,,,
1998,113999,Grain,81,San Mateo ,200,0.84,168,119,TONS ,20000,,,,,
1998,113999,Grain,95,Solano ,8969,1.67,14954,98,TONS ,1465500,,,,,
1998,113999,Grain,99,Stanislaus ,1700,1.45,2470,130,TON ,321000,,,,,
1998,113999,Grain,107,Tulare ,7000,1.80,12600,99,TONS ,1247000,,,,,
1998,113999,Grain,991,Sum of Others ,100,  ,  ,  ,  ,22100,,,,,
1998,113999,Grain,999, State Totals,108191,1.31,141921,95,    ,13531600,,,,,
1998,161741,Dry Beans,77,San Joaquin ,1500,0.73,1100,716,TONS ,788000,,,,,
1998,161741,Dry Beans,99,Stanislaus ,4900,0.70,3430,667,TONS ,2288000,,,,,
1998,161741,Dry Beans,101,Sutter ,2758,0.67,1848,592,TONS ,1094300,,,,,
1998,161741,Dry Beans,991,Sum of Others ,39,  ,  ,  ,  ,9600,,,,,
1998,161741,Dry Beans,999, State Totals,9197,0.70,6378,654,    ,4179900,,,,,
1998,169999,Dry Beans,7,Butte ,1375,0.85,1169,640,TONS ,748000,,,,,
1998,169999,Dry Beans,11,Colusa ,7100,0.70,4970,700,TONS ,3479000,,,,,
1998,169999,Dry Beans,19,Fresno ,15300,1.14,17400,704,TONS ,12250000,,,,,
1998,169999,Dry Beans,21,Glenn ,1632,0.88,1428,931,TONS ,1330000,,,,,
1998,169999,Dry Beans,29,Kern ,6331,1.16,7340,591,TONS ,4338000,,,,,
1998,169999,Dry Beans,31,Kings ,8074,0.97,7832,681,TONS ,5333000,,,,,
1998,169999,Dry Beans,39,Madera ,2100,1.33,2793,567,TONS ,1584000,,,,,
1998,169999,Dry Beans,47,Merced ,4635,0.79,3662,660,TONS ,2418000,,,,,
1998,169999,Dry Beans,53,Monterey ,12,1.17,14,714,TONS ,10000,,,,,
1998,169999,Dry Beans,59,Orange ,1185,0.85,1012,1206,TONS ,1220900,,,,,
1998,169999,Dry Beans,65,Riverside ,330,0.75,248,798,TONS ,198000,,,,,
1998,169999,Dry Beans,77,San Joaquin ,545,0.88,480,490,TONS ,235400,,,,,
1998,169999,Dry Beans,81,San Mateo ,200,1.00,200,730,TONS ,146000,,,,,
1998,169999,Dry Beans,83,Santa Barbara ,709,  ,  ,  ,  ,591000,,,,,
1998,169999,Dry Beans,95,Solano ,4357,1.00,4357,598,TONS ,2605500,,,,,
1998,169999,Dry Beans,99,Stanislaus ,3000,0.78,2340,707,TONS ,1654000,,,,,
1998,169999,Dry Beans,101,Sutter ,1321,0.75,991,709,TONS ,702900,,,,,
1998,169999,Dry Beans,103,Tehama ,1000,0.78,780,700,TONS ,546000,,,,,
1998,169999,Dry Beans,107,Tulare ,7600,1.22,9270,582,TONS ,5395000,,,,,
1998,169999,Dry Beans,113,Yolo ,1981,0.57,1129,505,TONS ,570000,,,,,
1998,169999,Dry Beans,991,Sum of Others ,663,  ,  ,  ,  ,333800,,,,,
1998,169999,Dry Beans,999, State Totals,69450,0.99,67415,664,    ,45688500,,,,,
1998,162399,Dry Beans,991,Sum of Others ,14,  ,  ,  ,  ,63100,,,,,
1998,162399,Dry Beans,999, State Totals,14,  ,0,  ,    ,63100,,,,,
1998,161742,Dry Beans,79,San Luis Obispo ,700,0.33,228,640,TONS ,146000,,,,,
1998,161742,Dry Beans,991,Sum of Others ,1,  ,  ,  ,  ,10000,,,,,
