County,Crop,Year,AW (acre-ft/acre),Total Land (Irrigated Crop Area in acres),AW,,,,,,,,,,,,,,,,,,
Lassen, Almonds & Pistachios,1998,0.00,0,0,,,,,,,,,,,,,,,,,,
Lassen, Other Deciduous,1998,0.00,0,0,,,,,,,,,,,,,,,,,,
Lassen, Citrus & Subtropical,1998,0.00,0,0,,,,,,,,,,,,,,,,,,
Lassen,Vineyard,1998,0.00,0,0,,,,,,,,,,,,,,,,,,
Los Angeles,Grain,1998,1.07,1930,2055.454545,,,,,,,,,,,,,,,,,,
Los Angeles,Rice,1998,0.00,0,0,,,,,,,,,,,,,,,,,,
Los Angeles,Cotton,1998,0.00,0,0,,,,,,,,,,,,,,,,,,
Los Angeles,Sugar Beets,1998,0.00,0,0,,,,,,,,,,,,,,,,,,
Los Angeles,Corn,1998,1.73,320,554.7950089,,,,,,,,,,,,,,,,,,
Los Angeles,Dry Beans,1998,0.00,0,0,,,,,,,,,,,,,,,,,,
Los Angeles,Safflower,1998,0.00,0,0,,,,,,,,,,,,,,,,,,
Los Angeles,Other Field,1998,2.47,240,591.9354839,,,,,,,,,,,,,,,,,,
Los Angeles,Alfalfa,1998,4.80,5610,26904.7619,,,,,,,,,,,,,,,,,,
Los Angeles,Pasture,1998,2.73,560,1530.392968,,,,,,,,,,,,,,,,,,
Los Angeles,Tomato Processing,1998,0.00,0,0,,,,,,,,,,,,,,,,,,
Los Angeles,Tomato Fresh,1998,0.00,0,0,,,,,,,,,,,,,,,,,,
Los Angeles,Cucurbits,1998,1.85,230,426.4705882,,,,,,,,,,,,,,,,,,
Los Angeles,Onions & Garlic,1998,2.96,1880,5560.784314,,,,,,,,,,,,,,,,,,
Los Angeles,Potatoes,1998,3.68,200,735.2941176,,,,,,,,,,,,,,,,,,
Los Angeles,Truck Crops,1998,1.65,7210,11908.49297,,,,,,,,,,,,,,,,,,
Los Angeles, Almonds & Pistachios,1998,4.29,60,257.1428571,,,,,,,,,,,,,,,,,,
Los Angeles, Other Deciduous,1998,4.25,1600,6805.46003,,,,,,,,,,,,,,,,,,
Los Angeles, Citrus & Subtropical,1998,2.07,1730,3575.832148,,,,,,,,,,,,,,,,,,
Los Angeles,Vineyard,1998,1.71,60,102.8571429,,,,,,,,,,,,,,,,,,
Madera ,Grain,1998,0.14,19000,2747.204969,,,,,,,,,,,,,,,,,,
Madera ,Rice,1998,4.76,400,1904.761905,,,,,,,,,,,,,,,,,,
Madera ,Cotton,1998,2.40,27100,65040,,,,,,,,,,,,,,,,,,
Madera ,Sugar Beets,1998,0.65,400,259.7402597,,,,,,,,,,,,,,,,,,
Madera ,Corn,1998,2.01,15300,30771.01449,,,,,,,,,,,,,,,,,,
Madera ,Dry Beans,1998,1.75,3100,5424.864865,,,,,,,,,,,,,,,,,,
Madera ,Safflower,1998,0.60,900,540,,,,,,,,,,,,,,,,,,
Madera ,Other Field,1998,1.90,1100,2095.238095,,,,,,,,,,,,,,,,,,
Madera ,Alfalfa,1998,3.19,37300,118927.5362,,,,,,,,,,,,,,,,,,
Madera ,Pasture,1998,3.42,5500,18835.61644,,,,,,,,,,,,,,,,,,
